Fecha;BEN;CO;NO;NO2;NOX;O3;PM10;PM25;SO2
25/08/15;null(null);0.3;2.5;11.0;12.0;43.0;null(null);null(null);1.0
26/08/15;null(null);0.31;1.6;7.8;7.0;42.0;null(null);null(null);1.0
27/08/15;null(null);0.27;1.8;6.0;5.8;35.0;null(null);null(null);1.0
28/08/15;null(null);0.29;4.0;15.0;19.0;21.0;null(null);null(null);1.5
29/08/15;null(null);0.25;2.4;8.9;10.0;32.0;null(null);null(null);1.0
30/08/15;null(null);0.25;9.0;16.0;28.0;50.0;null(null);null(null);1.9
31/08/15;null(null);0.32;2.2;12.0;12.0;54.0;null(null);null(null);1.7
1/10/15;null(null);0.1;3.5;24.0;29.0;74.0;null(null);null(null);1.9
2/10/15;null(null);0.1;23.0;38.0;73.0;50.0;null(null);null(null);1.4
3/10/15;null(null);0.1;26.0;37.0;77.0;35.0;null(null);null(null);1.5
4/10/15;null(null);0.1;1.3;5.3;7.0;54.0;null(null);null(null);1.0
5/10/15;null(null);0.1;1.8;7.6;10.0;63.0;null(null);null(null);1.0
6/10/15;null(null);0.1;3.3;17.0;22.0;56.0;null(null);null(null);1.0
7/10/15;null(null);0.1;8.0;28.0;40.0;35.0;null(null);null(null);2.0
8/10/15;null(null);0.1;10.0;24.0;39.0;38.0;null(null);null(null);2.9
9/10/15;null(null);0.1;19.0;39.0;67.0;40.0;null(null);null(null);1.0
10/10/15;null(null);0.1;1.8;13.0;16.0;57.0;null(null);null(null);1.0
11/10/15;null(null);0.1;6.0;14.0;24.0;44.0;null(null);null(null);1.0
12/10/15;null(null);0.1;6.3;14.0;23.0;53.0;null(null);null(null);1.3
13/10/15;null(null);0.1;7.6;21.0;33.0;57.0;null(null);null(null);2.0
14/10/15;null(null);0.1;16.0;35.0;59.0;39.0;null(null);null(null);2.5
15/10/15;null(null);0.1;23.0;47.0;81.0;34.0;null(null);null(null);1.4
16/10/15;null(null);0.1;29.0;44.0;89.0;28.0;null(null);null(null);3.7
17/10/15;null(null);0.1;3.9;15.0;20.0;56.0;null(null);null(null);1.0
18/10/15;null(null);0.1;8.4;21.0;34.0;34.0;null(null);null(null);1.2
19/10/15;null(null);0.1;5.1;13.0;20.0;46.0;null(null);null(null);1.5
20/10/15;null(null);0.1;22.0;43.0;76.0;41.0;null(null);null(null);5.2
21/10/15;null(null);0.1;9.2;24.0;38.0;53.0;null(null);null(null);1.2
22/10/15;null(null);0.13;14.0;36.0;57.0;35.0;null(null);null(null);3.3
23/10/15;null(null);0.16;35.0;40.0;95.0;44.0;null(null);null(null);1.0
24/10/15;0.01;0.1;4.3;20.0;26.0;59.0;null(null);null(null);1.0
25/10/15;0.01;0.1;3.0;16.0;20.0;52.0;null(null);null(null);1.0
26/10/15;0.01;0.1;2.7;19.0;23.0;55.0;null(null);null(null);1.0
27/10/15;0.01;0.1;3.2;20.0;24.0;56.0;null(null);null(null);1.0
28/10/15;0.01;0.1;3.3;18.0;23.0;62.0;null(null);null(null);1.2
29/10/15;0.01;0.1;2.6;12.0;16.0;60.0;null(null);null(null);1.0
30/10/15;0.01;0.1;2.3;14.0;17.0;60.0;null(null);null(null);1.0
31/10/15;0.01;0.11;6.8;23.0;33.0;60.0;null(null);11.0;1.0
1/09/15;null(null);0.29;4.8;14.0;19.0;56.0;null(null);null(null);1.3
2/09/15;null(null);0.27;2.8;9.5;11.0;65.0;null(null);null(null);1.1
3/09/15;null(null);0.24;3.0;11.0;12.0;64.0;null(null);null(null);1.5
4/09/15;null(null);0.23;2.8;10.0;12.0;64.0;null(null);null(null);1.1
5/09/15;null(null);0.23;4.4;15.0;19.0;63.0;null(null);null(null);1.3
6/09/15;null(null);0.24;5.9;20.0;27.0;62.0;null(null);null(null);2.7
7/09/15;null(null);0.29;10.0;27.0;41.0;58.0;null(null);null(null);2.0
8/09/15;null(null);0.32;11.0;32.0;45.0;56.0;null(null);null(null);2.6
9/09/15;null(null);0.36;2.1;14.0;14.0;53.0;null(null);null(null);1.0
10/09/15;null(null);0.34;3.2;18.0;21.0;49.0;null(null);null(null);1.2
11/09/15;null(null);0.33;8.1;20.0;30.0;36.0;null(null);null(null);1.5
12/09/15;null(null);0.33;2.7;11.0;12.0;52.0;null(null);null(null);1.6
13/09/15;null(null);0.33;1.8;6.1;5.8;60.0;null(null);null(null);1.0
14/09/15;null(null);0.31;2.9;15.0;16.0;57.0;null(null);null(null);1.1
16/09/15;null(null);0.33;1.8;9.1;9.0;67.0;null(null);null(null);1.0
17/09/15;null(null);0.36;3.8;23.0;26.0;47.0;null(null);null(null);1.0
18/09/15;null(null);0.34;7.3;20.0;28.0;49.0;null(null);null(null);1.0
19/09/15;0.01;0.33;12.0;23.0;40.0;45.0;null(null);null(null);2.1
20/09/15;0.01;0.35;10.0;27.0;41.0;51.0;null(null);null(null);4.5
21/09/15;null(null);0.26;11.0;16.0;30.0;50.0;null(null);null(null);1.0
22/09/15;null(null);0.18;3.0;14.0;16.0;54.0;null(null);null(null);1.0
23/09/15;null(null);0.2;9.0;19.0;31.0;42.0;null(null);null(null);4.4
24/09/15;null(null);0.21;4.8;15.0;20.0;47.0;null(null);null(null);4.3
25/09/15;null(null);0.25;null(null);null(null);null(null);36.0;null(null);null(null);4.0
26/09/15;null(null);0.25;5.6;17.0;24.0;49.0;null(null);null(null);1.9
27/09/15;null(null);0.21;14.0;25.0;46.0;43.0;null(null);null(null);4.2
28/09/15;null(null);0.19;17.0;33.0;57.0;44.0;null(null);null(null);4.6
30/09/15;null(null);0.1;5.3;25.0;32.0;62.0;null(null);null(null);1.0
1/06/15;0.01;0.17;3.6;12.0;15.0;71.0;null(null);null(null);4.0
2/06/15;0.01;0.18;6.0;15.0;21.0;61.0;null(null);null(null);1.6
3/06/15;0.01;0.16;4.4;16.0;20.0;55.0;null(null);null(null);5.2
4/06/15;0.01;0.2;7.6;19.0;29.0;72.0;null(null);null(null);2.3
5/06/15;0.01;0.14;3.0;12.0;14.0;65.0;null(null);null(null);2.6
6/06/15;0.01;0.15;3.4;11.0;13.0;71.0;null(null);null(null);1.0
7/06/15;0.01;0.17;4.9;15.0;20.0;73.0;null(null);null(null);3.4
8/06/15;0.01;0.18;6.2;23.0;30.0;68.0;null(null);null(null);1.3
9/06/15;0.01;0.16;5.6;29.0;35.0;73.0;null(null);null(null);1.9
10/06/15;0.01;0.15;2.4;13.0;13.0;109.0;null(null);null(null);2.7
11/06/15;0.01;0.15;3.0;14.0;15.0;95.0;null(null);null(null);1.1
12/06/15;0.01;0.15;2.4;14.0;13.0;90.0;null(null);null(null);1.5
13/06/15;0.01;0.15;2.0;8.0;7.2;83.0;null(null);null(null);1.0
14/06/15;0.01;0.14;2.0;10.0;9.9;77.0;null(null);null(null);1.1
15/06/15;0.01;0.14;2.7;12.0;13.0;81.0;null(null);null(null);1.6
16/06/15;0.01;0.14;3.0;13.0;14.0;74.0;null(null);null(null);1.8
17/06/15;0.01;0.14;3.2;13.0;16.0;83.0;null(null);null(null);1.0
18/06/15;null(null);0.15;9.7;24.0;36.0;73.0;null(null);null(null);1.8
19/06/15;null(null);0.12;5.7;14.0;20.0;53.0;null(null);null(null);1.3
20/06/15;null(null);0.14;4.4;14.0;18.0;75.0;null(null);null(null);6.9
21/06/15;null(null);0.19;3.0;14.0;16.0;96.0;null(null);null(null);1.4
22/06/15;null(null);0.15;1.9;18.0;18.0;80.0;null(null);null(null);1.2
23/06/15;null(null);0.17;2.0;13.0;13.0;65.0;null(null);null(null);2.1
24/06/15;null(null);0.25;1.8;13.0;13.0;69.0;null(null);null(null);5.5
25/06/15;null(null);0.16;4.2;16.0;20.0;77.0;null(null);null(null);1.7
26/06/15;null(null);0.1;3.0;10.0;13.0;64.0;null(null);null(null);1.6
27/06/15;null(null);0.1;2.8;9.0;11.0;56.0;null(null);null(null);2.4
28/06/15;null(null);0.1;2.3;11.0;13.0;62.0;null(null);null(null);19.0
29/06/15;null(null);0.21;12.0;25.0;42.0;82.0;null(null);null(null);4.8
30/06/15;null(null);0.24;1.6;12.0;12.0;76.0;null(null);null(null);2.9
1/07/15;null(null);0.11;1.7;8.1;8.3;55.0;null(null);null(null);1.6
2/07/15;null(null);0.1;2.1;11.0;13.0;55.0;null(null);null(null);3.2
3/07/15;null(null);0.1;3.8;18.0;20.0;43.0;null(null);null(null);6.9
4/07/15;null(null);0.11;2.3;9.6;9.3;55.0;null(null);null(null);2.0
5/07/15;null(null);0.1;2.3;9.3;9.4;67.0;null(null);null(null);2.0
6/07/15;null(null);0.1;14.0;21.0;40.0;59.0;null(null);null(null);2.7
7/07/15;null(null);0.11;3.5;19.0;22.0;38.0;null(null);null(null);3.0
8/07/15;null(null);0.1;3.8;12.0;15.0;60.0;null(null);null(null);2.4
9/07/15;null(null);0.22;5.5;19.0;25.0;87.0;null(null);null(null);2.3
10/07/15;null(null);0.12;2.2;13.0;13.0;69.0;null(null);null(null);1.0
11/07/15;null(null);0.12;2.9;13.0;14.0;49.0;null(null);null(null);1.7
12/07/15;null(null);0.13;2.2;8.7;8.8;57.0;null(null);null(null);1.3
13/07/15;null(null);0.17;3.0;11.0;13.0;53.0;null(null);null(null);1.7
14/07/15;null(null);0.16;2.9;12.0;13.0;59.0;null(null);null(null);1.5
15/07/15;null(null);0.22;3.2;14.0;17.0;59.0;null(null);null(null);1.5
16/07/15;null(null);0.24;2.7;15.0;16.0;44.0;null(null);null(null);1.0
17/07/15;null(null);0.24;2.2;11.0;12.0;45.0;null(null);null(null);2.6
18/07/15;null(null);0.27;2.1;14.0;13.0;43.0;null(null);null(null);1.1
19/07/15;null(null);0.3;2.0;7.8;7.3;44.0;null(null);null(null);1.0
20/07/15;null(null);0.31;2.8;9.5;11.0;28.0;null(null);null(null);1.0
21/07/15;null(null);0.28;9.0;10.0;22.0;31.0;null(null);null(null);1.5
22/07/15;null(null);0.24;6.7;15.0;22.0;53.0;null(null);null(null);1.7
23/07/15;null(null);0.23;7.8;16.0;25.0;51.0;null(null);null(null);1.2
24/07/15;null(null);0.28;2.9;12.0;14.0;48.0;null(null);null(null);1.0
25/07/15;null(null);0.14;7.7;16.0;25.0;59.0;null(null);null(null);2.7
26/07/15;null(null);0.29;2.3;14.0;14.0;38.0;null(null);null(null);1.0
27/07/15;null(null);0.23;2.3;11.0;11.0;52.0;null(null);null(null);1.0
28/07/15;null(null);0.3;3.0;16.0;17.0;32.0;null(null);null(null);1.2
29/07/15;null(null);0.32;3.3;15.0;17.0;35.0;null(null);null(null);1.1
30/07/15;null(null);0.26;9.0;25.0;37.0;45.0;null(null);null(null);2.1
31/07/15;null(null);0.25;3.3;14.0;16.0;69.0;null(null);null(null);3.6
1/05/15;0.01;0.18;1.7;9.8;9.4;57.0;null(null);null(null);1.0
2/05/15;0.01;0.17;1.0;3.0;1.2;57.0;null(null);null(null);1.0
3/05/15;0.01;0.17;1.0;3.0;1.0;75.0;null(null);null(null);1.0
4/05/15;0.01;0.18;1.5;7.5;7.2;69.0;null(null);null(null);1.0
5/05/15;0.01;0.21;2.4;25.0;26.0;90.0;null(null);null(null);1.0
6/05/15;0.01;0.2;2.7;21.0;22.0;85.0;null(null);null(null);1.5
7/05/15;0.01;0.21;5.8;29.0;35.0;67.0;null(null);null(null);2.8
8/05/15;0.01;0.19;2.3;22.0;22.0;80.0;null(null);null(null);1.2
9/05/15;0.01;0.19;2.5;23.0;24.0;74.0;null(null);null(null);2.1
10/05/15;0.01;0.21;3.8;31.0;34.0;57.0;null(null);null(null);5.7
11/05/15;0.01;0.19;21.0;35.0;66.0;46.0;null(null);null(null);7.2
12/05/15;0.01;0.18;16.0;23.0;45.0;75.0;null(null);null(null);5.4
13/05/15;0.01;0.14;2.0;10.0;10.0;84.0;null(null);null(null);1.0
14/05/15;0.01;0.14;1.8;6.3;5.7;88.0;null(null);null(null);1.3
15/05/15;0.01;0.17;3.4;14.0;16.0;84.0;null(null);null(null);2.2
16/05/15;0.01;0.15;5.8;18.0;25.0;57.0;null(null);null(null);4.3
17/05/15;0.01;0.15;5.4;11.0;17.0;59.0;null(null);null(null);2.2
18/05/15;0.01;0.15;2.9;11.0;13.0;65.0;null(null);null(null);4.9
19/05/15;0.01;0.17;2.3;10.0;11.0;85.0;null(null);null(null);2.0
20/05/15;0.01;0.17;2.6;11.0;12.0;84.0;null(null);null(null);2.3
21/05/15;0.01;0.17;2.9;10.0;12.0;83.0;null(null);null(null);1.0
22/05/15;0.01;0.17;2.4;8.6;9.9;88.0;null(null);null(null);1.0
23/05/15;0.01;0.15;4.4;9.0;13.0;67.0;null(null);null(null);3.6
24/05/15;0.01;0.14;2.2;5.6;5.9;59.0;null(null);null(null);1.0
25/05/15;0.01;0.16;5.4;12.0;17.0;58.0;null(null);null(null);3.0
26/05/15;0.01;0.16;3.3;11.0;14.0;66.0;null(null);null(null);2.5
27/05/15;0.01;0.16;4.5;16.0;20.0;74.0;null(null);null(null);4.3
28/05/15;0.01;0.17;2.4;11.0;12.0;88.0;null(null);null(null);8.3
29/05/15;0.01;0.16;3.5;13.0;16.0;80.0;null(null);null(null);5.4
30/05/15;0.01;0.15;2.5;11.0;12.0;50.0;null(null);null(null);4.6
31/05/15;0.01;0.15;2.3;9.0;9.1;43.0;null(null);null(null);1.1
1/03/15;null(null);0.25;1.0;6.6;5.9;72.0;null(null);null(null);1.8
2/03/15;null(null);0.3;2.4;31.0;33.0;50.0;null(null);null(null);2.3
3/03/15;null(null);0.3;4.1;19.0;23.0;57.0;null(null);null(null);7.7
4/03/15;null(null);0.28;4.1;17.0;21.0;67.0;null(null);null(null);4.5
5/03/15;null(null);0.31;5.4;36.0;42.0;56.0;null(null);null(null);3.8
6/03/15;null(null);0.38;24.0;48.0;84.0;46.0;null(null);null(null);16.0
7/03/15;null(null);0.41;21.0;51.0;81.0;51.0;null(null);null(null);8.9
8/03/15;null(null);0.37;7.0;30.0;38.0;67.0;null(null);null(null);9.5
9/03/15;null(null);0.36;18.0;40.0;66.0;51.0;null(null);null(null);3.7
10/03/15;null(null);0.38;19.0;40.0;67.0;51.0;null(null);null(null);8.5
11/03/15;null(null);0.34;5.8;36.0;42.0;58.0;null(null);null(null);2.0
12/03/15;null(null);0.32;3.6;40.0;43.0;43.0;null(null);null(null);1.6
13/03/15;null(null);0.32;5.4;22.0;27.0;69.0;null(null);null(null);3.7
14/03/15;null(null);0.32;12.0;33.0;48.0;55.0;null(null);null(null);6.5
15/03/15;null(null);0.34;7.4;26.0;35.0;54.0;null(null);null(null);6.5
16/03/15;null(null);0.37;7.3;32.0;41.0;59.0;null(null);null(null);5.6
17/03/15;null(null);0.41;8.0;34.0;44.0;56.0;null(null);null(null);4.2
18/03/15;null(null);0.36;5.8;27.0;33.0;70.0;null(null);null(null);5.8
19/03/15;null(null);0.36;13.0;33.0;51.0;62.0;null(null);null(null);4.8
20/03/15;null(null);0.39;8.8;27.0;38.0;69.0;null(null);null(null);6.2
21/03/15;null(null);0.39;6.5;26.0;33.0;68.0;null(null);null(null);1.5
22/03/15;null(null);0.36;12.0;31.0;47.0;58.0;null(null);null(null);5.9
23/03/15;null(null);0.35;4.0;17.0;20.0;63.0;null(null);null(null);9.5
24/03/15;null(null);0.35;2.7;14.0;16.0;71.0;null(null);null(null);9.4
25/03/15;null(null);0.36;4.9;28.0;33.0;62.0;null(null);null(null);5.2
26/03/15;null(null);0.37;8.8;33.0;44.0;40.0;null(null);null(null);3.6
27/03/15;null(null);0.35;13.0;33.0;51.0;37.0;null(null);null(null);1.4
28/03/15;null(null);0.31;2.8;21.0;22.0;50.0;null(null);null(null);4.3
29/03/15;null(null);0.31;1.8;13.0;12.0;62.0;null(null);null(null);2.5
30/03/15;null(null);0.32;2.2;21.0;21.0;59.0;null(null);null(null);1.8
31/03/15;null(null);0.33;3.8;19.0;22.0;51.0;null(null);null(null);2.0
1/04/15;null(null);0.36;5.0;22.0;27.0;64.0;null(null);null(null);2.7
2/04/15;null(null);0.38;15.0;25.0;45.0;63.0;null(null);null(null);12.0
3/04/15;null(null);0.37;4.7;13.0;17.0;61.0;null(null);null(null);11.0
4/04/15;null(null);0.36;9.8;29.0;43.0;62.0;null(null);null(null);9.3
5/04/15;null(null);0.38;7.5;31.0;41.0;52.0;null(null);null(null);12.0
6/04/15;null(null);0.43;19.0;45.0;72.0;39.0;null(null);null(null);5.8
7/04/15;null(null);0.44;9.8;36.0;48.0;63.0;null(null);null(null);3.0
8/04/15;null(null);0.42;3.0;27.0;27.0;82.0;null(null);null(null);2.0
9/04/15;null(null);0.46;7.8;38.0;47.0;59.0;null(null);null(null);1.6
10/04/15;null(null);0.48;5.5;50.0;55.0;46.0;null(null);null(null);2.4
11/04/15;null(null);0.45;3.7;30.0;31.0;60.0;null(null);null(null);1.1
12/04/15;null(null);0.43;23.0;30.0;62.0;58.0;null(null);null(null);6.7
13/04/15;null(null);0.44;17.0;36.0;60.0;61.0;null(null);null(null);5.0
14/04/15;null(null);0.44;9.0;41.0;52.0;null(null);null(null);null(null);3.7
15/04/15;null(null);0.49;14.0;53.0;72.0;null(null);null(null);null(null);8.4
16/04/15;null(null);0.45;2.3;36.0;36.0;74.0;null(null);null(null);1.0
17/04/15;0.012;0.44;2.6;21.0;22.0;68.0;null(null);null(null);1.1
18/04/15;0.011;0.45;2.9;20.0;21.0;70.0;null(null);null(null);3.1
19/04/15;0.01;0.45;3.3;24.0;25.0;64.0;null(null);null(null);1.4
20/04/15;0.011;0.31;21.0;34.0;65.0;53.0;null(null);null(null);6.3
21/04/15;0.01;0.24;8.0;32.0;42.0;67.0;null(null);null(null);3.0
22/04/15;0.01;0.22;3.0;30.0;32.0;64.0;null(null);null(null);1.1
23/04/15;0.01;0.21;6.8;22.0;30.0;74.0;null(null);null(null);1.0
24/04/15;0.01;0.21;1.9;20.0;19.0;71.0;null(null);null(null);1.4
25/04/15;0.01;0.2;1.7;13.0;13.0;83.0;null(null);null(null);1.9
26/04/15;0.01;0.2;1.7;9.2;8.8;89.0;null(null);null(null);2.0
27/04/15;0.01;0.21;3.4;19.0;22.0;71.0;null(null);null(null);1.0
28/04/15;0.01;0.21;7.2;23.0;31.0;67.0;null(null);null(null);2.6
29/04/15;0.01;0.21;5.8;22.0;28.0;72.0;null(null);null(null);1.3
30/04/15;0.01;0.18;2.3;16.0;17.0;64.0;null(null);null(null);1.0
1/02/15;null(null);0.29;1.3;15.0;15.0;54.0;null(null);null(null);1.2
2/02/15;null(null);0.26;1.5;12.0;13.0;61.0;null(null);null(null);2.1
3/02/15;null(null);0.25;2.1;13.0;15.0;64.0;null(null);null(null);5.0
4/02/15;null(null);0.29;7.0;24.0;33.0;51.0;null(null);null(null);3.1
5/02/15;null(null);0.29;8.7;26.0;37.0;49.0;null(null);null(null);1.4
6/02/15;null(null);0.3;4.2;19.0;24.0;46.0;null(null);null(null);6.3
7/02/15;null(null);0.32;5.6;19.0;26.0;42.0;null(null);null(null);2.6
8/02/15;null(null);0.32;5.8;22.0;29.0;46.0;null(null);null(null);2.5
9/02/15;null(null);0.28;7.5;29.0;39.0;48.0;null(null);null(null);3.3
10/02/15;null(null);0.38;14.0;35.0;55.0;44.0;null(null);null(null);4.1
11/02/15;null(null);0.53;34.0;52.0;103.0;26.0;null(null);null(null);17.0
12/02/15;null(null);0.43;3.4;43.0;47.0;38.0;null(null);null(null);2.2
13/02/15;null(null);0.33;1.8;25.0;26.0;63.0;null(null);null(null);2.2
14/02/15;null(null);0.28;1.2;18.0;17.0;66.0;null(null);null(null);1.2
15/02/15;null(null);0.28;1.2;9.6;9.2;64.0;null(null);null(null);2.1
16/02/15;null(null);0.3;3.9;21.0;25.0;56.0;null(null);null(null);5.0
17/02/15;null(null);0.27;4.1;15.0;19.0;63.0;null(null);null(null);6.5
18/02/15;null(null);0.29;5.6;25.0;31.0;56.0;null(null);null(null);4.3
19/02/15;null(null);0.43;33.0;47.0;98.0;24.0;null(null);null(null);10.0
20/02/15;null(null);0.37;2.0;34.0;35.0;47.0;null(null);null(null);4.3
21/02/15;null(null);0.3;5.4;16.0;22.0;67.0;null(null);null(null);1.7
22/02/15;null(null);0.33;1.4;20.0;20.0;51.0;null(null);null(null);1.1
23/02/15;null(null);0.27;1.8;14.0;15.0;65.0;null(null);null(null);2.3
24/02/15;null(null);0.34;5.9;29.0;36.0;52.0;null(null);null(null);3.4
25/02/15;null(null);0.33;5.5;29.0;35.0;47.0;null(null);null(null);1.5
26/02/15;null(null);0.29;3.2;30.0;33.0;54.0;null(null);null(null);2.3
27/02/15;null(null);0.3;3.2;22.0;25.0;70.0;null(null);null(null);1.6
28/02/15;null(null);0.29;2.0;22.0;23.0;53.0;null(null);null(null);2.4
1/01/15;null(null);0.49;11.0;37.0;53.0;24.0;null(null);null(null);1.0
2/01/15;null(null);0.48;40.0;44.0;105.0;18.0;null(null);null(null);1.2
3/01/15;null(null);0.39;14.0;35.0;56.0;21.0;null(null);null(null);1.0
4/01/15;null(null);0.29;7.9;22.0;32.0;32.0;null(null);null(null);1.0
5/01/15;null(null);0.35;4.4;38.0;43.0;24.0;null(null);null(null);1.0
6/01/15;null(null);0.28;3.9;23.0;27.0;48.0;null(null);null(null);1.0
7/01/15;null(null);0.38;25.0;36.0;73.0;15.0;null(null);null(null);1.1
8/01/15;null(null);0.41;23.0;38.0;71.0;25.0;null(null);null(null);2.4
9/01/15;null(null);0.4;33.0;37.0;88.0;15.0;null(null);null(null);2.6
10/01/15;null(null);0.39;16.0;26.0;49.0;16.0;null(null);null(null);1.3
11/01/15;null(null);0.29;7.8;21.0;31.0;31.0;null(null);null(null);1.9
12/01/15;null(null);0.3;16.0;26.0;48.0;36.0;null(null);null(null);1.0
13/01/15;null(null);0.26;3.6;23.0;27.0;50.0;null(null);null(null);1.3
14/01/15;null(null);0.26;2.1;21.0;21.0;51.0;null(null);null(null);5.5
15/01/15;null(null);0.26;3.3;22.0;25.0;59.0;null(null);null(null);1.3
16/01/15;null(null);0.34;22.0;37.0;71.0;39.0;null(null);null(null);3.0
17/01/15;null(null);0.31;2.2;15.0;16.0;46.0;null(null);null(null);2.1
18/01/15;null(null);0.24;1.7;8.1;8.4;58.0;null(null);null(null);1.3
19/01/15;null(null);0.31;12.0;27.0;43.0;43.0;null(null);null(null);3.6
20/01/15;null(null);0.28;6.8;23.0;32.0;52.0;null(null);null(null);1.2
21/01/15;null(null);0.26;2.1;15.0;15.0;63.0;null(null);null(null);1.2
22/01/15;null(null);0.28;5.5;30.0;37.0;49.0;null(null);null(null);2.1
23/01/15;null(null);0.33;9.4;32.0;45.0;30.0;null(null);null(null);2.3
24/01/15;null(null);0.26;3.0;18.0;21.0;38.0;null(null);null(null);2.5
25/01/15;null(null);0.26;1.6;8.5;8.9;54.0;null(null);null(null);5.6
26/01/15;null(null);0.28;12.0;26.0;43.0;38.0;null(null);null(null);4.8
27/01/15;null(null);0.26;6.3;24.0;33.0;41.0;null(null);null(null);2.2
28/01/15;null(null);0.3;5.5;37.0;44.0;37.0;null(null);null(null);1.3
29/01/15;null(null);0.24;1.5;16.0;17.0;50.0;null(null);null(null);2.7
30/01/15;null(null);0.2;1.2;5.8;6.0;61.0;null(null);null(null);1.8
31/01/15;null(null);0.23;1.8;7.3;7.7;72.0;null(null);null(null);5.8
