Abreviatura;Nombre;Unidades
BEN;Benceno;µg/m3
CH4;Metano;µg/m3
CO;Monóxido de carbono;µg/m3
dd;Dirección del viento;grados
EBN;Etilbenceno;µg/m3
HR;Humedad relativa;%
LL;Lluvia/Precipitaciones;l/m2
NH3;Amoníaco;µg/m3
NO;Monóxido de nitrógeno;µg/m3
NO2;Dióxido de nitrógeno;µg/m3
NOx;Óxidos de nitrógemo;µg/m3
O3;Ozono;µg/m3
OXL;Ortoxileno;µg/m3
PM10;Partículas en suspensión < 10 um (*);µg/m3
PM25;Particulas en suspensión < 2,5 um;µg/m3
PRB;Presión barométrica;mBar
PST;Partículas suspendidas totales;µg/m3
RS;Radiación solar;w/m2
RUV;Radiación ultravioleta;w/m2
SH2;Sulfuro de Hidrógeno;µg/m3
SO2;Dióxido de azufre;µg/m3
TMP;Temperatura;ºC
TOL;Tolueno;µg/m3
vv;Velocidad del viento;m/s
XIL;Xileno;µg/m3
